epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,390.481,1.80835,3.36391,1.64237,0.00496,0.6,0.08097,0.03465,1.62798,3.44996,1.53649,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,714.952,1.5302,3.10389,1.44855,0.00674,0.81515,0.21968,0.10586,1.45307,3.23122,1.32946,0.00346991,0.00115664,0.00346991,0.00115664,0.00346991,0.00115664,0.00346991,0.00115664
3,1017.12,1.43585,2.55902,1.31837,0.62348,0.28182,0.36357,0.20249,1.44402,2.72221,1.34172,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
4,1321.19,1.43083,1.98049,1.32789,0.63825,0.50606,0.55714,0.32272,1.41364,2.08294,1.30386,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,1607.76,1.33741,1.77421,1.26337,0.70835,0.54545,0.63693,0.37601,1.3503,1.97377,1.28168,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,1905.07,1.33278,1.64676,1.23889,0.7461,0.55758,0.66066,0.39474,1.36603,1.78289,1.28255,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,2193.83,1.26702,1.57114,1.2146,0.67134,0.65455,0.68038,0.40918,1.3148,1.78178,1.25007,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,2489.73,1.28827,1.51139,1.19578,0.73763,0.65455,0.70154,0.41819,1.32037,1.7298,1.23243,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,2746.38,1.23743,1.43377,1.18972,0.7523,0.67185,0.73348,0.44596,1.31303,1.61494,1.23156,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,3011.13,1.25361,1.37053,1.16924,0.772,0.66364,0.7485,0.46301,1.32162,1.54379,1.24605,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,3292.65,1.21608,1.30823,1.15518,0.77826,0.66061,0.74472,0.46752,1.28071,1.50367,1.23516,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,3570.05,1.19742,1.27416,1.15179,0.73419,0.63939,0.72571,0.44955,1.30589,1.53655,1.2351,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,3826.05,1.24029,1.32974,1.15757,0.75096,0.63636,0.71743,0.43896,1.31666,1.54778,1.22477,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,4046.49,1.20445,1.2322,1.14669,0.70968,0.66667,0.73906,0.46824,1.25931,1.42863,1.19852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,4263.8,1.16457,1.20168,1.12193,0.77684,0.65455,0.74313,0.45901,1.30073,1.43154,1.23226,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,4483.35,1.15678,1.16986,1.12689,0.78878,0.67879,0.77252,0.48658,1.28736,1.39474,1.21362,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,4697.41,1.1767,1.18585,1.13246,0.80832,0.66449,0.76457,0.47785,1.28791,1.37225,1.22427,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,4917.6,1.1361,1.14384,1.12064,0.80088,0.67576,0.77122,0.48506,1.31717,1.3787,1.23163,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,5184.75,1.14177,1.12279,1.12267,0.73217,0.68182,0.76076,0.45575,1.32945,1.43797,1.24409,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,5613.37,1.11917,1.06442,1.10932,0.74539,0.70909,0.75586,0.47353,1.28973,1.39432,1.22538,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,5951.57,1.0838,1.06722,1.09656,0.75885,0.67273,0.75373,0.47579,1.2758,1.38992,1.21934,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,6309.99,1.1088,1.06421,1.10898,0.8145,0.64242,0.75678,0.46693,1.32846,1.37404,1.22206,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,6626.05,1.09837,1.03435,1.09413,0.7624,0.66667,0.75525,0.47203,1.30241,1.37603,1.22531,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,6977.3,1.06315,1.04321,1.09012,0.77188,0.6697,0.75766,0.48077,1.29955,1.34418,1.21671,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,7309.96,1.05484,0.9949,1.07183,0.74226,0.6697,0.75194,0.47787,1.31374,1.33769,1.22732,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,7650.99,1.04238,1.00252,1.09364,0.76601,0.68485,0.76644,0.49004,1.29878,1.29072,1.21017,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,7955.27,1.04497,0.98428,1.05938,0.76757,0.69394,0.77017,0.49624,1.29029,1.27423,1.20149,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,8216.85,1.04605,0.97105,1.06891,0.73723,0.71515,0.76256,0.48898,1.29915,1.29234,1.20469,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,8450.34,1.06518,0.9618,1.07378,0.82497,0.66061,0.76601,0.49926,1.28095,1.25597,1.1941,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,8693.76,1.01847,0.95376,1.07249,0.84436,0.6697,0.77542,0.50262,1.27441,1.24585,1.18509,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,8934.61,1.05007,0.94619,1.08026,0.80567,0.69697,0.78514,0.50863,1.25843,1.24172,1.19082,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,9182.77,1.00195,0.93326,1.05824,0.85377,0.65463,0.7769,0.49878,1.26687,1.23545,1.20899,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,9427.38,1.04653,0.94409,1.09363,0.82648,0.67879,0.78277,0.50209,1.28653,1.23132,1.21594,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,9674.03,1.01612,0.89367,1.03944,0.8344,0.66667,0.76312,0.49232,1.28473,1.27388,1.21398,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,9912.17,1.02535,0.89623,1.04467,0.812,0.66751,0.76833,0.49963,1.28788,1.25555,1.20279,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,10161,0.99341,0.90025,1.04334,0.80857,0.6697,0.77453,0.50881,1.26793,1.22956,1.19862,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,10399.9,0.98546,0.88303,1.02808,0.81621,0.65943,0.77464,0.49403,1.28026,1.23795,1.20546,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,10647.2,0.99071,0.84582,1.06166,0.82094,0.65296,0.77271,0.49709,1.29028,1.2353,1.21221,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,10887.2,0.98543,0.93607,1.03929,0.83523,0.66364,0.77806,0.49963,1.28373,1.23965,1.20612,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
